0.8369565217391305 0.671317113342619 0.8866666666666667 0.8521739130434782
Epoch 1, time 0.01 min, ACC 0.71, loss 0.72
Epoch 2, time 0.00 min, ACC 0.72, loss 0.60
Epoch 3, time 0.00 min, ACC 0.74, loss 0.54
Epoch 4, time 0.00 min, ACC 0.74, loss 0.52
Epoch 5, time 0.00 min, ACC 0.73, loss 0.52
Epoch 6, time 0.00 min, ACC 0.74, loss 0.51
Epoch 7, time 0.00 min, ACC 0.76, loss 0.51
Epoch 8, time 0.00 min, ACC 0.74, loss 0.50
Epoch 9, time 0.00 min, ACC 0.76, loss 0.50
Epoch 10, time 0.00 min, ACC 0.75, loss 0.50
Epoch 11, time 0.00 min, ACC 0.76, loss 0.50
Epoch 12, time 0.00 min, ACC 0.76, loss 0.50
Epoch 13, time 0.00 min, ACC 0.75, loss 0.50
Epoch 14, time 0.00 min, ACC 0.75, loss 0.49
Epoch 15, time 0.00 min, ACC 0.75, loss 0.49
Epoch 16, time 0.00 min, ACC 0.74, loss 0.49
Finished, time 0.03 min
620 z 31500, 0.0017850995063781738
621 z 31500, 0.001783450444539388
622 z 31500, 0.0017865856488545736
623 z 31500, 0.0017782131830851237
624 z 31500, 0.0017945528030395507
625 z 31500, 0.0017862836519877115
626 z 31500, 0.001788167158762614
627 z 31500, 0.0017714301745096843
628 z 31500, 0.0017699321111043294
629 z 31500, 0.0017844796180725097
630 z 31500, 0.0017936388651529948
631 z 31500, 0.001773222287495931
632 z 31500, 0.0017812053362528484
633 z 31500, 0.0017885645230611166
634 z 31500, 0.0017803748448689779
635 z 31500, 0.0017908294995625815
636 z 31500, 0.0018029133478800455
637 z 31500, 0.0017810821533203124
638 z 31500, 0.0017834742863972982
639 z 31500, 0.001783609390258789
640 z 31500, 0.001789995034535726
641 z 31500, 0.001792911688486735
642 z 31500, 0.0017806013425191243
643 z 31500, 0.0017850319544474283
644 z 31500, 0.0017883896827697754
645 z 31500, 0.0017797152201334636
646 z 31500, 0.0017872850100199382
647 z 31500, 0.0017880042394002279
648 z 31500, 0.0017939567565917968
649 z 31500, 0.0017897923787434896
650 z 31500, 0.0017879645029703775
651 z 31500, 0.001768032709757487
652 z 31500, 0.0017645915349324545
653 z 31500, 0.0017861525217692058
654 z 31500, 0.0017783641815185547
655 z 31500, 0.0017702420552571615
656 z 31500, 0.0017662564913431802
657 z 31500, 0.0017800291379292807
658 z 31500, 0.0017727335294087728
659 z 31500, 0.001754132906595866
660 z 31500, 0.0017667055130004884
661 z 31500, 0.0017794370651245117
662 z 31500, 0.0017771561940511068
663 z 31500, 0.0017876784006754557
664 z 31500, 0.001776119073232015
665 z 31500, 0.0017630577087402344
666 z 31500, 0.0017673969268798828
667 z 31500, 0.0018082022666931151
668 z 31500, 0.0017818371454874674
669 z 31500, 0.0017682552337646485
670 z 31500, 0.0017669359842936198
671 z 31500, 0.001790769894917806
672 z 31500, 0.001779611905415853
673 z 31500, 0.001771704355875651
674 z 31500, 0.0017766793568929037
675 z 31500, 0.0017755905787150065
676 z 31500, 0.0017732620239257813
677 z 31500, 0.0017617344856262207
678 z 31500, 0.0017619649569193521
679 z 31500, 0.001786494255065918
680 z 31500, 0.0017804980278015136
681 z 31500, 0.0017531315485636394
682 z 31500, 0.0017603158950805664
683 z 31500, 0.001775062084197998
684 z 31500, 0.0017731428146362306
685 z 31500, 0.0017551779747009277
686 z 31500, 0.0017680486043294271
687 z 31500, 0.0017873525619506836
688 z 31500, 0.0017722845077514648
689 z 31500, 0.0017508506774902345
690 z 31500, 0.0017655650774637858
691 z 31500, 0.0017785151799519856
692 z 31500, 0.0017718633015950521
693 z 31500, 0.0017505447069803874
694 z 31500, 0.0017671386400858562
695 z 31500, 0.0017808834711710612
696 z 31500, 0.0017771085103352865
697 z 31500, 0.0017698287963867187
698 z 31500, 0.001779786745707194
699 z 31500, 0.0017812252044677734
700 z 31500, 0.0017860213915507
701 z 31500, 0.001760721206665039
702 z 31500, 0.001771227518717448
703 z 31500, 0.0017944176991780598
704 z 31500, 0.0017743309338887532
705 z 31500, 0.0017699281374613444
706 z 31500, 0.001767130692799886
707 z 31500, 0.0017733812332153321
708 z 31500, 0.0017639756202697753
709 z 31500, 0.0017711043357849122
710 z 31500, 0.0017749826113382975
711 z 31500, 0.0017920970916748048
712 z 31500, 0.0017706910769144694
713 z 31500, 0.0017838120460510255
714 z 31500, 0.0017756819725036621
715 z 31500, 0.0017661690711975099
716 z 31500, 0.0017775456110636393
717 z 31500, 0.0017801841100056966
718 z 31500, 0.0017647544542948406
719 z 31500, 0.001771410306294759
720 z 31500, 0.001780402660369873
721 z 31500, 0.0017745335896809896
722 z 31500, 0.0017670075098673503
723 z 31500, 0.0017632603645324706
724 z 31500, 0.001776119073232015
725 z 31500, 0.0017776966094970703
726 z 31500, 0.0017777204513549805
727 z 31500, 0.0017719030380249023
